Date;Close;;;;;;
01/03/2016;98.30,;;;;;;
29/02/2016;93.41,;;;;;;
26/02/2016;94.79,;;;;;;
25/02/2016;94.53,;;;;;;
24/02/2016;91.61,;;;;;;
23/02/2016;89.12,;;;;;;
22/02/2016;91.93,;;;;;;
19/02/2016;89.23,;;;;;;
18/02/2016;90.49,;;;;;;
17/02/2016;94.76,;;;;;;
16/02/2016;89.05,;;;;;;
12/02/2016;87.40,;;;;;;
11/02/2016;86.35,;;;;;;
10/02/2016;88.45,;;;;;;
09/02/2016;86.13,;;;;;;
08/02/2016;83.32,;;;;;;
05/02/2016;82.79,;;;;;;
04/02/2016;89.71,;;;;;;
03/02/2016;90.74,;;;;;;
